,COL_hits
1023,11
1024,9
1025,9
1026,11
1027,16
1028,11
1029,4
1030,6
1031,8
1032,10
1033,5
1034,6
1035,9
1036,8
1037,7
1038,6
1039,12
1040,13
1041,21
1042,13
1043,15
1044,7
1045,10
1046,10
1047,6
1048,14
1049,7
1050,6
1051,8
1052,8
1053,17
1054,9
1055,8
1056,14
1057,13
1058,6
1059,9
1060,13
1061,8
1062,6
1063,24
1064,9
1067,14
1068,18
1069,12
1070,14
1071,4
1072,17
1075,7
1076,8
1077,6
1078,8
1079,4
1080,9
1081,8
1082,9
1083,14
1084,7
1085,13
1086,12
1087,8
1088,11
1089,11
1090,6
1091,11
1092,11
1093,12
1094,6
1095,8
1096,11
1097,6
1098,9
1099,4
1100,9
1101,13
1102,6
1103,15
1104,7
1105,10
1106,12
1107,15
1108,16
1109,18
1110,14
1111,17
1112,6
1113,8
1114,5
1115,6
1116,7
1117,6
1118,6
1119,11
1120,9
1121,10
1122,8
1123,9
1124,11
1125,10
1126,13
1127,6
1128,11
1129,8
1130,7
1131,12
1132,14
1133,8
1134,7
1135,3
1136,8
1137,5
1138,8
1139,5
1140,10
1141,3
1142,10
1143,9
1144,7
1145,7
1146,11
1147,9
1148,1
1149,6
1150,18
1151,13
1152,18
1153,6
1154,13
1155,6
1156,7
1157,5
1158,20
1159,10
1160,10
1161,5
1162,12
1163,6
1164,9
1165,9
1166,19
1167,11
1168,17
1169,9
1170,27
1171,13
1172,15
1173,6
1174,9
1175,6
1176,14
1177,8
1178,8
1179,8
1180,6
1181,6
1182,6
1183,11
1184,17
1185,7
1186,7
1187,6
1188,10
1189,11
1190,10
1193,6
1194,15
1195,15
1196,16
1197,12
1198,4
1199,13
1200,5
1201,5
1202,5
1203,5
1204,8
1205,10
1206,9
1207,9
1210,7
1211,5
1212,5
1213,11
1214,9
1215,7
1216,12
1217,11
1218,9
1219,12
1220,12
1221,10
1222,9
1225,6
1226,8
1227,12
1228,8
1229,10
1232,12
1233,10
1234,10
1235,9
1236,10
1237,6
1238,6
1239,7
1240,12
1241,4
1242,4
1243,9
1248,5
1249,4
1250,7
1251,6
1252,12
1253,12
1254,8
1255,13
1256,9
1257,16
1258,10
1259,14
1260,9
1261,5
1262,7
1263,11
1264,4
1265,9
1266,11
1267,12
1268,6
1269,4
1270,9
1271,14
1272,7
1273,6
1274,1
1275,5
1276,7
1277,12
1278,7
1279,7
1280,7
1281,9
1282,7
1283,10
1284,5
1285,4
1286,14
1287,12
1288,9
1289,10
1290,5
1291,10
1292,5
1293,7
1294,11
1295,8
1296,10
1297,9
1298,7
1299,7
1300,10
1301,8
1302,10
1303,9
1304,6
1305,12
1306,11
1307,8
1308,13
1309,7
1310,11
1311,7
1312,10
1313,10
1314,6
1315,9
1316,11
1317,8
1318,11
1319,9
1322,6
1323,7
1324,3
1325,9
1326,5
1327,10
1328,7
1329,7
1330,7
1331,9
1332,15
1333,15
1334,11
1335,6
1336,8
1337,9
1338,7
1339,8
1340,10
1341,14
1342,8
1343,7
1344,9
1345,7
1346,14
1347,11
1348,11
1349,10
1350,11
1351,7
1352,9
1353,9
1354,17
1355,8
1356,8
1357,7
1358,10
1359,9
1360,4
1361,10
1362,13
1363,13
1364,13
1365,5
1366,11
1367,12
1370,7
1371,9
1372,11
1373,12
1374,4
1375,12
1376,5
1377,4
1378,16
1379,7
1380,15
1381,6
1382,6
1383,8
1384,11
1385,12
1386,10
1387,18
1388,5
1389,9
1390,9
1391,14
1392,8
1395,7
1396,9
1397,5
1398,9
1399,9
1402,9
1403,5
1406,18
1407,8
1408,10
1409,11
1410,5
1411,7
1412,7
1413,14
1416,6
1417,12
1418,11
1419,8
1420,8
1421,10
1422,10
1423,13
1424,11
1425,9
1426,3
1427,10
1428,10
1429,3
1430,9
1431,11
1432,11
1433,9
1434,11
1435,8
1436,8
1437,8
1438,7
1439,9
1440,12
1441,4
1442,10
1443,10
1444,11
1445,8
1446,6
1447,6
1448,16
1449,11
1450,12
1451,12
1452,5
1453,9
1454,11
1455,14
1456,10
1457,7
1458,12
1459,6
1462,10
1463,9
1464,8
1465,10
1466,9
1467,8
1468,18
1469,12
1470,5
1471,11
1472,11
1473,10
1474,9
1475,15
1476,5
1477,5
1478,10
1479,9
1480,18
1481,8
1482,10
1483,7
1484,3
1485,7
1486,5
1487,5
1488,11
1491,9
1492,9
1493,7
1494,9
1495,5
1496,15
1497,7
1498,8
1499,7
1500,9
1501,6
1502,15
1503,9
1504,15
1505,10
1506,6
1507,10
1508,17
1509,9
1510,9
1511,9
1512,15
1513,10
1514,4
1515,6
1516,5
1517,8
1518,7
1519,5
1520,10
1521,4
1522,13
1523,7
1524,6
1525,18
1526,11
1527,8
1528,6
1529,11
1530,11
1531,7
1532,8
1533,4
1534,16
1535,9
1536,18
1537,6
